word_count,char_count,sly_count,level
1,1,1,1
1,4,1,1
7,61,19,2
4,42,13,3
12,160,44,3
5,35,11,2
15,97,28,1
1,11,3,2
4,16,6,1
4,19,6,1
1,11,3,2
4,16,6,1
4,19,6,1
3,25,8,2
2,6,3,1
3,17,6,1
3,27,8,2
20,118,35,1
6,50,16,2
9,59,15,1
3,33,10,3
8,70,19,2
2,27,3,1
1,1,1,1
2,9,3,1
1,1,1,1
2,6,2,1
1,1,1,1
2,7,3,1
1,1,1,1
2,9,4,1
1,1,1,1
2,8,3,1
1,4,1,1
8,59,19,2
5,43,12,2
3,24,7,2
7,49,16,2
3,22,7,2
6,33,10,1
3,13,4,1
3,12,4,1
5,24,8,1
3,12,4,1
5,23,7,1
5,25,8,1
3,13,4,1
3,12,4,1
5,24,8,1
3,12,4,1
5,23,7,1
5,25,8,1
3,13,4,1
3,12,4,1
5,24,8,1
3,12,4,1
5,23,7,1
9,95,30,3
1,1,1,1
2,5,2,1
1,1,1,1
2,8,3,1
1,1,1,1
2,11,4,1
11,75,21,1
5,46,12,2
7,40,11,1
4,23,8,1
13,84,26,2
1,1,1,1
8,49,17,2
1,1,1,1
11,93,30,2
1,1,1,1
12,84,27,2
4,35,10,2
3,15,5,1
3,18,6,1
3,14,5,1
9,45,15,1
2,9,3,1
4,20,6,1
3,19,5,1
3,13,5,1
1,4,1,1
3,12,4,1
3,15,5,1
3,18,6,1
3,14,5,1
9,45,15,1
2,9,3,1
4,20,6,1
3,19,5,1
3,13,5,1
1,4,1,1
3,12,4,1
3,15,5,1
3,18,6,1
3,14,5,1
9,45,15,1
2,9,3,1
4,20,6,1
3,19,5,1
3,13,5,1
1,4,1,1
3,12,4,1
3,15,5,1
3,18,6,1
3,14,5,1
9,45,15,1
2,9,3,1
4,20,6,1
3,19,5,1
3,13,5,1
1,4,1,1
8,93,31,3
3,23,7,2
4,21,6,1
6,36,11,1
2,10,4,1
1,1,1,1
1,4,1,1
6,45,14,2
4,26,7,1
1,1,1,1
3,13,5,1
2,12,4,1
5,47,15,2
9,63,20,2
1,1,1,1
15,102,28,1
1,1,1,1
16,96,29,1
3,12,4,1
1,4,1,1
5,43,13,2
3,11,4,1
1,1,1,1
2,12,4,1
1,3,1,1
10,67,20,2
4,23,8,1
1,2,1,1
1,7,1,1
2,8,3,1
1,1,1,1
1,4,1,1
5,39,14,2
12,107,33,2
2,23,3,1
2,8,3,1
2,8,4,1
2,8,2,1
2,10,3,1
2,6,2,1
1,1,1,1
2,10,3,1
2,10,3,1
1,4,1,1
5,45,15,2
4,34,11,2
2,13,4,1
2,10,4,1
2,7,2,1
2,7,3,1
2,3,2,1
2,10,4,1
2,8,2,1
2,9,3,1
2,8,3,1
2,6,2,1
2,5,2,1
2,10,3,1
2,8,3,1
2,6,2,1
2,5,2,1
1,1,1,1
1,4,1,1
8,70,23,2
4,26,7,1
2,6,2,1
2,9,5,2
1,1,1,1
2,9,4,1
2,8,4,1
2,7,3,1
2,9,5,2
2,6,3,1
2,6,3,1
2,9,5,2
1,4,1,1
7,38,13,1
4,38,10,2
25,200,54,2
1,1,1,1
1,1,1,1
5,31,11,2
1,7,1,1
2,6,3,1
1,4,1,1
3,24,7,2
8,66,20,2
3,13,4,1
1,3,1,1
5,37,11,2
10,78,26,2
1,1,1,1
2,7,4,1
2,9,5,2
1,4,1,1
5,42,14,2
3,28,8,2
1,36,1,1
1,1,1,1
10,86,27,2
1,14,3,2
4,19,6,1
12,110,37,3
2,9,3,1
1,4,1,1
9,70,19,2
8,79,24,2
1,1,1,1
2,8,2,1
5,38,11,2
2,7,3,1
1,1,1,1
2,10,3,1
4,33,10,2
4,28,9,2
1,1,1,1
2,10,3,1
2,19,6,2
4,31,11,2
2,27,3,1
1,4,1,1
12,103,35,2
5,27,9,1
3,21,5,1
5,27,9,1
3,21,5,1
12,94,28,2
21,107,32,1
1,7,2,1
3,13,5,1
4,19,6,1
1,7,2,1
3,13,5,1
4,19,6,1
3,16,5,1
8,32,12,1
3,23,6,1
5,40,10,1
3,20,7,2
1,2,1,1
18,167,51,2
10,67,20,2
16,135,39,2
3,25,6,1
3,42,7,2
4,28,10,2
3,19,5,1
1,5,1,1
1,8,2,1
4,28,10,2
3,19,5,1
1,5,1,1
5,26,7,1
2,17,4,1
6,27,8,1
9,76,22,2
4,35,9,2
1,3,1,1
1,2,1,1
1,3,1,1
4,22,7,1
5,14,6,1
1,3,1,1
1,2,1,1
1,3,1,1
4,22,7,1
5,14,6,1
3,22,6,1
11,80,27,2
1,9,4,3
1,9,3,2
126,1198,353,3
8,39,13,1
4,16,5,1
6,51,19,3
2,21,8,3
15,109,31,2
7,49,15,2
16,112,32,2
9,65,17,1
10,68,20,2
16,112,32,2
9,65,17,1
10,68,20,2
16,112,32,2
9,65,17,1
10,68,20,2
13,91,28,2
8,50,14,1
13,91,28,2
8,50,14,1
5,26,8,1
6,35,11,1
11,65,18,1
13,91,29,2
6,33,9,1
5,26,8,1
6,35,11,1
11,65,18,1
13,91,29,2
6,33,9,1
5,26,8,1
6,35,11,1
11,65,18,1
13,91,29,2
6,33,9,1
5,26,8,1
6,35,11,1
11,65,18,1
13,91,29,2
6,33,9,1
5,26,8,1
6,35,11,1
11,65,18,1
13,91,29,2
6,33,9,1
27,238,74,2
17,110,35,2
13,96,31,2
7,35,10,1
17,110,35,2
13,96,31,2
7,35,10,1
17,110,35,2
13,96,31,2
10,69,24,2
9,53,15,1
22,129,36,1
8,55,16,1
15,105,31,2
26,170,46,1
8,55,16,1
15,105,31,2
26,170,46,1
8,55,16,1
15,105,31,2
26,170,46,1
8,55,16,1
15,105,31,2
29,209,65,2
12,71,24,2
37,239,73,2
14,89,29,2
32,194,62,2
31,186,57,2
24,156,51,2
5,30,9,1
24,156,51,2
8,56,17,2
16,98,30,1
12,71,23,1
19,129,39,2
11,74,23,2
9,52,15,1
6,47,15,2
9,52,15,1
7,49,14,1
34,245,73,2
6,42,12,1
14,91,26,1
16,122,37,2
14,91,26,1
16,122,37,2
34,203,64,2
5,28,8,1
13,90,28,2
5,28,8,1
13,90,28,2
24,174,52,2
26,191,57,2
19,144,50,2
17,114,39,2
12,84,30,2
7,52,15,2
7,39,10,1
17,113,29,1
2,15,3,1
12,86,27,2
13,79,28,2
10,53,17,1
13,79,28,2
